name,slug,featured,image,space_available,unit_price,measurement,owner,title,company,phone,email,address,state,city,zip_code,features,services,pallet_capacity,unit,labor_hours,approved,latitud-2,longitude-2
100 Broadway Ste 309,100-broadway-ste-309,,,,0,20,,,"Treeline Logistics, Inc.",1-415-678-5588,,100 Broadway Ste 309,CA,San Francisco,94111-1430,,,0,,10,true,37.7988624,-122.4000739
100 Cutting Blvd,100-cutting-blvd,,,,0,20,,,International-Matex Tank Terminals,1-510-412-5700,,100 Cutting Blvd,CA,Richmind,94804-2126,,,0,,10,true,37.9250416,-122.3696192
1000 Detroit Ave Ste F,1000-detroit-ave-ste-f,,,,0,20,,,Hester Warehouse,1-925-687-5365,,1000 Detroit Ave Ste F,CA,Concord,94518-2439,,,0,,10,true,37.9531305,-122.0270956
1000 Howard Ave,1000-howard-ave,,,,0,20,,,T E Meakin,1-650-558-0225,,1000 Howard Ave,CA,San Mateo,94401-1117,,,0,,10,true,37.5855572,-122.3333816
101 10th Ave,101-10th-ave,,,,0,20,,,Transmeridian Warehouses Inc.,1-510-834-988,,101 10th Ave,CA,Oakland,94606-5135,,,0,,10,true,37.7876967,-122.2559761
1020 Hansen Way,1020-hansen-way,,,,0,20,,,S & R Delivery,1-650-992-6917,,1020 Hansen Way,CA,Redwood City,94063-2621,,,0,,10,true,37.4896351,-122.218455
1020 Spring St,1020-spring-st,,,,0,20,,,Central Self Storage,1-408-295-3033,,1020 Spring St,CA,San Jose,95110-1616,,,0,,10,true,37.3501207,-121.9147895
1021 Blossom Hill Rd Ste 30,1021-blossom-hill-rd-ste-30,,,,0,20,,,Pedron's Enterprises,1-408-269-5200,,1021 Blossom Hill Rd Ste 30,CA,San Jose,95123-1197,,,0,,10,true,37.2510337,-121.8716933
1021 Washington St,1021-washington-st,,,,0,20,,,"American Royal International, Inc.",1-650-685-7330,,1021 Washington St,CA,San Carlos,94070-5318,,,0,,10,true,37.4976472,-122.2457801
1026 Hanson Ct,1026-hanson-ct,,,,0,20,,,Echo Engineering & Production Supplies Inc.,1-408-945-0325,,1026 Hanson Ct,CA,Milpitas,95035-3165,,,0,,10,true,37.4455465,-121.9085084
1029 Blackwood Lane,1029-blackwood-lane,,,,0,20,,,Lamorinda Tow,1-925-284-7575,,1029 Blackwood Lane,CA,Lafayette,94549-3904,,,0,,10,true,37.8940802,-122.1125681
104 Caledonia St Ste C,104-caledonia-st-ste-c,,,,0,20,,,Pacific American Management Group,1-415-331-3838,,104 Caledonia St Ste C,CA,Saualito,94965-1952,,,0,,10,true,37.8588675,-122.4854428
